subzone_key,SUBZONE_N,PLN_AREA_N,REGION_N,elderly_pct,nearest_food_km,food_access_score,transit_access_score,accessibility_support_score,vulnerability_score,cluster
NEE SOON,NEE SOON,YISHUN,NORTH REGION,0.16853932584269662,2.313955535035621,-0.7256536392700319,-1.4900788545176105,-0.768022936421959,8.785135296446168,1
SPRINGLEAF,SPRINGLEAF,YISHUN,NORTH REGION,0.17848970251716248,2.0228655895517176,-0.7256536392700319,-0.3311203554911438,-1.3238920866465513,7.737375434419854,1
TAGORE,TAGORE,ANG MO KIO,NORTH-EAST REGION,0.189937106918239,1.5114276522137582,-0.7256536392700319,-1.175830076911008,-1.3238920866465513,7.368374001658634,1
MOUNT PLEASANT,MOUNT PLEASANT,NOVENA,CENTRAL REGION,0.2028985507246377,1.6004324639084302,-0.7256536392700319,-1.4900788545176105,-1.3238920866465513,7.336768950604517,1
LAKESIDE (LEISURE),LAKESIDE (LEISURE),JURONG EAST,WEST REGION,0.38317757009345793,0.7856682545130423,-0.35948040831256556,-0.3987188404495394,-0.768022936421959,6.281747737433277,0
NATURE RESERVE,NATURE RESERVE,BUKIT PANJANG,WEST REGION,0.12987012987012986,1.2369449599400526,-0.7256536392700319,-1.4900788545176105,-1.3238920866465513,5.382463571295041,1
TURF CLUB,TURF CLUB,SUNGEI KADUT,NORTH REGION,0.22388059701492538,1.0421516965528956,-0.7256536392700319,-0.7604157890088297,-1.3238920866465513,5.154670821610464,1
HOLLAND ROAD,HOLLAND ROAD,BUKIT TIMAH,CENTRAL REGION,0.14206642066420663,0.9050568736838407,-0.6338210068847647,-1.4900788545176105,-1.3238920866465513,4.925634788799814,1
SELETAR HILLS,SELETAR HILLS,SERANGOON,NORTH-EAST REGION,0.18571428571428572,0.5323684265077215,-0.6338210068847647,-1.4900788545176105,-1.3238920866465513,4.844690872778807,1
YIO CHU KANG EAST,YIO CHU KANG EAST,ANG MO KIO,NORTH-EAST REGION,0.17142857142857143,0.7022279559722384,-0.6338210068847647,-1.4900788545176105,-1.3238920866465513,4.718804687216321,1
GOMBAK,GOMBAK,BUKIT BATOK,WEST REGION,0.1540785498489426,0.8579342875279814,-0.6338210068847647,-0.8411464843516239,-1.3238920866465513,4.37848177447725,1
TEBAN GARDENS,TEBAN GARDENS,JURONG EAST,WEST REGION,0.19805720453318942,0.6282907265701131,-0.35948040831256556,-0.9596179107043485,-1.3238920866465513,4.372427169873582,0
NORTH COAST,NORTH COAST,WOODLANDS,NORTH REGION,0.18264462809917356,0.8725180518540087,-0.45131304069783257,-0.12686178974103765,-1.3238920866465513,3.990483799379639,0
LOYANG EAST,LOYANG EAST,PASIR RIS,EAST REGION,0.16822429906542055,0.9864133402958579,-0.5419883744994977,-0.48602807683945853,-0.768022936421959,3.9396100238393865,1
MALCOLM,MALCOLM,NOVENA,CENTRAL REGION,0.18305084745762712,0.8393889132820359,-0.5419883744994977,-0.8207116693988424,-0.4428603282328372,3.928199286909504,1
FABER,FABER,CLEMENTI,WEST REGION,0.11380597014925373,1.1380010202355972,-0.7256536392700319,-0.5505032236141021,-0.4428603282328372,3.8413642653041546,1
TAI SENG,TAI SENG,HOUGANG,NORTH-EAST REGION,0.19739696312364424,0.5661114997970782,-0.3583231097289636,-0.7129676180561417,-0.4428603282328372,3.438417956517336,0
DUNEARN,DUNEARN,NOVENA,CENTRAL REGION,0.1919191919191919,0.6943097324326774,-0.35948040831256556,-0.4615453823004215,-0.768022936421959,3.3372895040006982,0
SUNSET WAY,SUNSET WAY,CLEMENTI,WEST REGION,0.23008849557522124,0.37012893387916257,-0.45015574211423065,-0.48602807683945853,-0.4428603282328372,3.199591671260702,0
SENTOSA,SENTOSA,SOUTHERN ISLANDS,CENTRAL REGION,0.06701030927835051,1.136351064518256,-0.7256536392700319,-1.4900788545176105,-0.768022936421959,3.1222184132698905,1
